lectureID,"	day","	time","	classroomID","	unitID"
1,Monday,08:00:00,CR101,1
2,Tuesday,08:00:00,CR101,2
3,Wednesday,08:00:00,CR101,3
4,Thursday,08:00:00,CR101,4
5,Friday,08:00:00,CR101,5
6, Monday,11:00:00,LR202,6
7,Tuesday,11:00:00,LR202,7
8,Wednesday,11:00:00,LR202,8
9,Thursday,11:00:00,LR202,9
10,Friday,11:00:00,LR202,10
11,Monday,14:00:00,LT001,11
12,Tuesday,14:00:00,LT001,12
13,Wednesday,14:00:00,LT001,13
14,Thursday,14:00:00,LT001,14
15,Friday,14:00:00,LT001,15
16,Monday,08:00:00,RM303,16
17,Tuesday,08:00:00,RM303,17
18,Wednesday,08:00:00,RM303,18
19,Thursday,08:00:00,RM303,19
20,Friday,08:00:00,RM303,20
21,Monday,11:00:00,TC102,21
22,Tuesday,11:00:00,TC102,22
23,Wednesday,11:00:00,TC102,23
24,Thursday,11:00:00,TC102,24
25,Friday,11:00:00,TC102,25
26,Monday,14:00:00,PC101,26
27,Tuesday,14:00:00,PC101,27
28,Wednesday,14:00:00,PC101,28
29,Thursday,14:00:00,PC101,29
30,Friday,14:00:00,PC101,30
31,Monday,08:00:00,SC001,31
32,Tuesday,08:00:00,SC001,32
33,Wednesday,08:00:00,SC001,33
34,Monday,08:00:00,SC001,34
35,Tuesday,08:00:00,SC001,35
36,Wednesday,11:00:00,SM205,36
37,Thursday,11:00:00,SM205,37
38,Friday,11:00:00,SM205,38
39,Monday,11:00:00,SM205,39
40,Tuesday,11:00:00,SM205,40
41,Wednesday,14:00:00,LC201,41
42,"	Thursday",14:00:00,LC201,42
43,"	Friday",14:00:00,LC201,43
44,"	Monday",14:00:00,LC201,44
45,"	Tuesday",14:00:00,LC201,45
