unitID,title,lecturerID,year,courseID
1,Calculus 1,1,1,10
2,Linear Algebra,1,1,10
3,Statistics 1,1,1,10
4,Discrete Mathematics,1,1,10
5,Calculus 2,1,2,10
6,Mathematical Modelling,1,2,10
7,Probability Theory,1,2,10
8,Analysis 1,1,3,10
9,Geometry and Topology,2,3,10
10,Numerical Analysis,2,3,10
11,Analysis 2,2,4,10
12,Differential Equations,2,4,10
13,Combinatorics,2,4,10
14,Applied Mathematics,2,4,10
15,Algebraic Structures,2,4,10
16,Introduction to Programming,3,1,7
17,Discrete Mathematics,3,1,7
18,Database Systems,3,1,7
19,Computer Organization and Architecture,3,1,7
20,Web Development,3,2,7
21,Data Structures and Algorithms,3,2,7
22,Operating Systems,3,2,7
23,Computer Networks,3,2,7
24,Software Engineering,4,3,7
25,Artificial Intelligence,4,3,7
26,Advanced Programming,4,3,7
27,Database Administration,4,3,7
28,Computer Security,4,4,7
29,Distributed Systems,4,4,7
30,Mobile App Development,4,4,7
